host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2597290,2012-06-10,within a few hours,TRUE,5,5,Trinity-Bellwoods,Private room,1,1,1,NA,$54.00,101,TRUE,95,10,9,10,10,10,10
2737251,2012-06-25,N/A,FALSE,0,0,High Park-Swansea,Entire home/apt,1.5,7,4,0,$245.00,3,TRUE,93,10,9,10,10,10,9
227740,2010-09-07,N/A,FALSE,1,1,Palmerston-Little Italy,Entire home/apt,1,4,2,NA,$99.00,1,TRUE,80,10,8,10,8,8,10
2811178,2012-07-02,within an hour,FALSE,1,1,Greenwood-Coxwell,Entire home/apt,1.5,6,3,NA,$251.00,35,TRUE,91,9,8,10,10,10,9
377846,2011-02-05,within an hour,FALSE,11,11,East End-Danforth,Entire home/apt,1,7,3,NA,$119.00,28,TRUE,86,10,9,10,10,9,9
2821694,2012-07-03,N/A,FALSE,1,1,Wychwood,Entire home/apt,4,6,2,1800,$350.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
2175675,2012-04-19,within an hour,FALSE,6,6,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,$170.00,75,TRUE,97,10,10,10,10,10,10
2808386,2012-07-02,within a day,FALSE,1,1,Bay Street Corridor,Entire home/apt,1.5,3,1,NA,$121.00,9,TRUE,100,10,10,10,10,10,10
1160065,2011-09-14,N/A,FALSE,1,1,Niagara,Entire home/apt,1,2,2,NA,$130.00,13,TRUE,97,10,9,9,10,9,10
2929774,2012-07-13,N/A,FALSE,1,1,South Riverdale,Entire home/apt,1.5,3,2,NA,$115.00,7,TRUE,97,10,10,10,10,10,10
2771272,2012-06-28,within a few hours,FALSE,3,3,Dufferin Grove,Entire home/apt,1,4,1,NA,$90.00,196,TRUE,95,10,10,10,10,10,9
2980659,2012-07-18,N/A,FALSE,1,1,Woodbine Corridor,Private room,1.5,2,1,0,$69.00,40,TRUE,93,9,10,10,10,9,9
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,3.5,2,1,NA,$65.00,10,TRUE,68,7,7,8,7,5,7
1241161,2011-10-03,within an hour,TRUE,2,2,Dovercourt-Wallace Emerson-Junction,Private room,1.5,2,1,100,$89.00,10,TRUE,100,10,9,10,10,10,9
2741309,2012-06-25,N/A,FALSE,1,1,Palmerston-Little Italy,Entire home/apt,1,4,0,NA,$76.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
897683,2011-07-31,within a few hours,TRUE,3,3,Birchcliffe-Cliffside,Private room,1,1,1,NA,$34.00,22,TRUE,95,10,9,10,10,9,10
3096162,2012-07-29,N/A,FALSE,1,1,Broadview North,Entire home/apt,NA,2,1,NA,$451.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
2268652,NA,NA,NA,NA,NA,Woodbine Corridor,Private room,1,1,1,NA,$30.00,15,TRUE,100,10,10,10,10,10,10
2268652,NA,NA,NA,NA,NA,Woodbine Corridor,Private room,1,1,1,NA,$36.00,9,TRUE,98,10,10,10,10,9,10
